STATE_FIPS,STATE_NAME,YEAR,POPULATION
25,Massachusetts,2019,6894883
25,Massachusetts,2020,6893574
26,Michigan,2010,9877597
26,Michigan,2011,9883053
26,Michigan,2012,9898289
26,Michigan,2013,9914802
26,Michigan,2014,9932033
26,Michigan,2015,9934483
26,Michigan,2016,9954117
26,Michigan,2017,9976752
26,Michigan,2018,9987286
26,Michigan,2019,9984795
26,Michigan,2020,9966555
27,Minnesota,2010,5310934
27,Minnesota,2011,5346620
27,Minnesota,2012,5377500
27,Minnesota,2013,5414722
27,Minnesota,2014,5452665
27,Minnesota,2015,5484002
27,Minnesota,2016,5525360
27,Minnesota,2017,5569283
27,Minnesota,2018,5608762
27,Minnesota,2019,5640053
27,Minnesota,2020,5657342
28,Mississippi,2010,2970615
28,Mississippi,2011,2979147
28,Mississippi,2012,2984599
28,Mississippi,2013,2989839
28,Mississippi,2014,2991892
28,Mississippi,2015,2990231
28,Mississippi,2016,2990595
28,Mississippi,2017,2990674
28,Mississippi,2018,2982879
28,Mississippi,2019,2978227
28,Mississippi,2020,2966786
29,Missouri,2010,5996089
29,Missouri,2011,6011182
29,Missouri,2012,6026027
29,Missouri,2013,6042989
29,Missouri,2014,6059130
29,Missouri,2015,6075411
29,Missouri,2016,6091384
29,Missouri,2017,6111382
29,Missouri,2018,6125986
29,Missouri,2019,6140475
29,Missouri,2020,6151548
30,Montana,2010,990730
30,Montana,2011,997518
30,Montana,2012,1004168
30,Montana,2013,1014158
30,Montana,2014,1022657
30,Montana,2015,1031495
30,Montana,2016,1042137
30,Montana,2017,1053862
30,Montana,2018,1061818
30,Montana,2019,1070123
30,Montana,2020,1080577
31,Nebraska,2010,1829591
31,Nebraska,2011,1840914
31,Nebraska,2012,1853691
31,Nebraska,2013,1865813
31,Nebraska,2014,1879955
31,Nebraska,2015,1892059
31,Nebraska,2016,1906483
31,Nebraska,2017,1916998
31,Nebraska,2018,1925512
31,Nebraska,2019,1932571
31,Nebraska,2020,1937552
32,Nevada,2010,2702483
32,Nevada,2011,2713114
32,Nevada,2012,2744670
32,Nevada,2013,2776956
32,Nevada,2014,2818935
32,Nevada,2015,2868531
32,Nevada,2016,2919555
32,Nevada,2017,2972097
32,Nevada,2018,3030725
32,Nevada,2019,3090771
32,Nevada,2020,3138259
33,New Hampshire,2010,1316807
33,New Hampshire,2011,1320444
33,New Hampshire,2012,1324677
33,New Hampshire,2013,1327272
33,New Hampshire,2014,1334257
33,New Hampshire,2015,1337480
33,New Hampshire,2016,1343694
33,New Hampshire,2017,1350395
33,New Hampshire,2018,1355064
33,New Hampshire,2019,1360783
33,New Hampshire,2020,1366275
34,New Jersey,2010,8799451
34,New Jersey,2011,8828552
34,New Jersey,2012,8845671
34,New Jersey,2013,8857821
34,New Jersey,2014,8867277
34,New Jersey,2015,8870312
34,New Jersey,2016,8873584
34,New Jersey,2017,8888147
34,New Jersey,2018,8891730
34,New Jersey,2019,8891258
34,New Jersey,2020,8882371
35,New Mexico,2010,2064614
35,New Mexico,2011,2080707
35,New Mexico,2012,2087715
35,New Mexico,2013,2092833
35,New Mexico,2014,2090236
35,New Mexico,2015,2090071
35,New Mexico,2016,2092555
35,New Mexico,2017,2092844
35,New Mexico,2018,2093754
35,New Mexico,2019,2099634
35,New Mexico,2020,2106319
36,New York,2010,19399956
36,New York,2011,19499921
36,New York,2012,19574362
36,New York,2013,19626488
36,New York,2014,19653431
36,New York,2015,19657321
36,New York,2016,19636391
36,New York,2017,19593849
36,New York,2018,19544098
36,New York,2019,19463131
36,New York,2020,19336776
37,North Carolina,2010,9574586
37,North Carolina,2011,9658913
37,North Carolina,2012,9751810
37,North Carolina,2013,9846717
37,North Carolina,2014,9937295
37,North Carolina,2015,10037218
37,North Carolina,2016,10161802
37,North Carolina,2017,10275758
37,North Carolina,2018,10391358
37,North Carolina,2019,10501384
37,North Carolina,2020,10600823
38,North Dakota,2010,674752
38,North Dakota,2011,685526
38,North Dakota,2012,702227
38,North Dakota,2013,723149
38,North Dakota,2014,738736
38,North Dakota,2015,755537
38,North Dakota,2016,756114
38,North Dakota,2017,756755
38,North Dakota,2018,760062
38,North Dakota,2019,763724
38,North Dakota,2020,765309
39,Ohio,2010,11539449
39,Ohio,2011,11545735
39,Ohio,2012,11550971
39,Ohio,2013,11579692
39,Ohio,2014,11606573
39,Ohio,2015,11622315
39,Ohio,2016,11640060
39,Ohio,2017,11665706
39,Ohio,2018,11680892
39,Ohio,2019,11696507
39,Ohio,2020,11693217
40,Oklahoma,2010,3760014
40,Oklahoma,2011,3788824
40,Oklahoma,2012,3819320
40,Oklahoma,2013,3853891
40,Oklahoma,2014,3879187
40,Oklahoma,2015,3910518
40,Oklahoma,2016,3928143
40,Oklahoma,2017,3933602
40,Oklahoma,2018,3943488
40,Oklahoma,2019,3960676
40,Oklahoma,2020,3980783
41,Oregon,2010,3837614
41,Oregon,2011,3872672
41,Oregon,2012,3900102
41,Oregon,2013,3924110
41,Oregon,2014,3965447
41,Oregon,2015,4018542
41,Oregon,2016,4093271
41,Oregon,2017,4147294
41,Oregon,2018,4183538
41,Oregon,2019,4216116
41,Oregon,2020,4241507
42,Pennsylvania,2010,12711406
42,Pennsylvania,2011,12747052
42,Pennsylvania,2012,12769123
42,Pennsylvania,2013,12779538
42,Pennsylvania,2014,12792392
42,Pennsylvania,2015,12789838
42,Pennsylvania,2016,12788468
42,Pennsylvania,2017,12794679
42,Pennsylvania,2018,12809107
42,Pennsylvania,2019,12798883
42,Pennsylvania,2020,12783254
44,Rhode Island,2010,1053994
44,Rhode Island,2011,1053829
44,Rhode Island,2012,1054893
44,Rhode Island,2013,1055560
44,Rhode Island,2014,1056511
44,Rhode Island,2015,1056886
44,Rhode Island,2016,1057816
44,Rhode Island,2017,1056554
44,Rhode Island,2018,1059338
44,Rhode Island,2019,1058158
44,Rhode Island,2020,1057125
45,South Carolina,2010,4635846
45,South Carolina,2011,4672655
45,South Carolina,2012,4719027
45,South Carolina,2013,4766469
45,South Carolina,2014,4826858
45,South Carolina,2015,4896006
45,South Carolina,2016,4963031
45,South Carolina,2017,5027102
45,South Carolina,2018,5091702
45,South Carolina,2019,5157702
45,South Carolina,2020,5218040
46,South Dakota,2010,816193
46,South Dakota,2011,823740
46,South Dakota,2012,833859
46,South Dakota,2013,842751
46,South Dakota,2014,849670
46,South Dakota,2015,854663
46,South Dakota,2016,863693
46,South Dakota,2017,873732
46,South Dakota,2018,879386
46,South Dakota,2019,887127
46,South Dakota,2020,892717
47,Tennessee,2010,6355518
47,Tennessee,2011,6400298
47,Tennessee,2012,6455752
47,Tennessee,2013,6496943
47,Tennessee,2014,6544617
47,Tennessee,2015,6595354
47,Tennessee,2016,6651277
47,Tennessee,2017,6714748
47,Tennessee,2018,6778180
47,Tennessee,2019,6830325
47,Tennessee,2020,6886834
48,Texas,2010,25241897
48,Texas,2011,25645504
48,Texas,2012,26084120
48,Texas,2013,26479646
48,Texas,2014,26963092
48,Texas,2015,27468531
48,Texas,2016,27914064
48,Texas,2017,28291024
48,Texas,2018,28624564
48,Texas,2019,28986794
48,Texas,2020,29360759
49,Utah,2010,2775413
49,Utah,2011,2814797
49,Utah,2012,2854146
49,Utah,2013,2898773
49,Utah,2014,2938327
49,Utah,2015,2983626
49,Utah,2016,3044241
49,Utah,2017,3103540
49,Utah,2018,3155153
49,Utah,2019,3203383
49,Utah,2020,3249879
50,Vermont,2010,625886
50,Vermont,2011,627197
50,Vermont,2012,626361
50,Vermont,2013,626603
50,Vermont,2014,625693
50,Vermont,2015,625810
50,Vermont,2016,624366
50,Vermont,2017,625132
50,Vermont,2018,624802
50,Vermont,2019,624046
50,Vermont,2020,623347
51,Virginia,2010,8024004
51,Virginia,2011,8102437
51,Virginia,2012,8187456
51,Virginia,2013,8255861
51,Virginia,2014,8315430
51,Virginia,2015,8367303
51,Virginia,2016,8417651
51,Virginia,2017,8471011
51,Virginia,2018,8510920
51,Virginia,2019,8556642
51,Virginia,2020,8590563
53,Washington,2010,6743009
53,Washington,2011,6827479
53,Washington,2012,6898599
53,Washington,2013,6966252
53,Washington,2014,7057531
53,Washington,2015,7167287
53,Washington,2016,7299961
53,Washington,2017,7427951
53,Washington,2018,7526793
53,Washington,2019,7614024
53,Washington,2020,7693612
54,West Virginia,2010,1854265
54,West Virginia,2011,1856606
54,West Virginia,2012,1857446
54,West Virginia,2013,1854768
54,West Virginia,2014,1850569
54,West Virginia,2015,1843332
54,West Virginia,2016,1832435
54,West Virginia,2017,1818683
54,West Virginia,2018,1805953
54,West Virginia,2019,1795263
54,West Virginia,2020,1784787
55,Wisconsin,2010,5690538
55,Wisconsin,2011,5705840
55,Wisconsin,2012,5720825
55,Wisconsin,2013,5738012
55,Wisconsin,2014,5753199
55,Wisconsin,2015,5762927
55,Wisconsin,2016,5775170
55,Wisconsin,2017,5793147
55,Wisconsin,2018,5809319
55,Wisconsin,2019,5824581
55,Wisconsin,2020,5832655
56,Wyoming,2010,564531
56,Wyoming,2011,567491
56,Wyoming,2012,576656
56,Wyoming,2013,582620
56,Wyoming,2014,583159
56,Wyoming,2015,586389
56,Wyoming,2016,585243
56,Wyoming,2017,579994
56,Wyoming,2018,579054
56,Wyoming,2019,580116
56,Wyoming,2020,582328
72,Puerto Rico,2010,3721525
72,Puerto Rico,2011,3678732
72,Puerto Rico,2012,3634488
72,Puerto Rico,2013,3593077
72,Puerto Rico,2014,3534874
72,Puerto Rico,2015,3473232
72,Puerto Rico,2016,3406672
72,Puerto Rico,2017,3325284
72,Puerto Rico,2018,3193344
72,Puerto Rico,2019,3193553
72,Puerto Rico,2020,3159343
0,United States,2020,331516113
0,United States,2021,332100166
0,United States,2022,333996304
0,United States,2023,336755052
0,United States,2024,340003797
0,United States,2025,341784857
1,Alabama,2020,5025437
1,Alabama,2021,5050058
1,Alabama,2022,5076868
1,Alabama,2023,5117850
1,Alabama,2024,5163055
1,Alabama,2025,5193088
2,Alaska,2020,733383
2,Alaska,2021,734590
2,Alaska,2022,733659
2,Alaska,2023,734654
2,Alaska,2024,736537
2,Alaska,2025,737270
4,Arizona,2020,7158104
4,Arizona,2021,7274022
4,Arizona,2022,7370065
4,Arizona,2023,7452073
4,Arizona,2024,7556424
4,Arizona,2025,7623818
5,Arkansas,2020,3011530
5,Arkansas,2021,3027127
5,Arkansas,2022,3047429
5,Arkansas,2023,3069856
5,Arkansas,2024,3096080
5,Arkansas,2025,3114791
6,California,2020,39555703
6,California,2021,39152927
6,California,2022,39125347
6,California,2023,39181667
6,California,2024,39364774
6,California,2025,39355309
8,Colorado,2020,5775326
8,Colorado,2021,5814368
8,Colorado,2022,5853355
8,Colorado,2023,5912240
8,Colorado,2024,5988502
8,Colorado,2025,6012561
9,Connecticut,2020,3607750
9,Connecticut,2021,3607765
9,Connecticut,2022,3618707
9,Connecticut,2023,3641369
9,Connecticut,2024,3674449
9,Connecticut,2025,3688496
10,Delaware,2020,989950
10,Delaware,2021,1005130
10,Delaware,2022,1020279
10,Delaware,2023,1035354
10,Delaware,2024,1050123
10,Delaware,2025,1059952
11,District of Columbia,2020,689544
11,District of Columbia,2021,669637
11,District of Columbia,2022,674501
11,District of Columbia,2023,682559
11,District of Columbia,2024,691310
11,District of Columbia,2025,693645
12,Florida,2020,21538207
12,Florida,2021,21836698
12,Florida,2022,22413989
12,Florida,2023,22929248
12,Florida,2024,23265838
12,Florida,2025,23462518
13,Georgia,2020,10713861
13,Georgia,2021,10793038
13,Georgia,2022,10929992
13,Georgia,2023,11063669
13,Georgia,2024,11204208
13,Georgia,2025,11302748
15,Hawaii,2020,1455267
15,Hawaii,2021,1446909
15,Hawaii,2022,1437812
15,Hawaii,2023,1434950
15,Hawaii,2024,1434952
15,Hawaii,2025,1432820
16,Idaho,2020,1839123
16,Idaho,2021,1904855
16,Idaho,2022,1942951
16,Idaho,2023,1970497
16,Idaho,2024,2000872
16,Idaho,2025,2029733
17,Illinois,2020,12821741
17,Illinois,2021,12703354
17,Illinois,2022,12609577
17,Illinois,2023,12633389
17,Illinois,2024,12703033
17,Illinois,2025,12719141
18,Indiana,2020,6786605
18,Indiana,2021,6814223
18,Indiana,2022,6841491
18,Indiana,2023,6881373
18,Indiana,2024,6934754
18,Indiana,2025,6973333
19,Iowa,2020,3190582
19,Iowa,2021,3199037
19,Iowa,2022,3201890
19,Iowa,2023,3214739
19,Iowa,2024,3230454
19,Iowa,2025,3238387
20,Kansas,2020,2937986
20,Kansas,2021,2938966
20,Kansas,2022,2938034
20,Kansas,2023,2949749
20,Kansas,2024,2965252
20,Kansas,2025,2977220
21,Kentucky,2020,4506287
21,Kentucky,2021,4508348
21,Kentucky,2022,4521238
21,Kentucky,2023,4549953
21,Kentucky,2024,4584046
21,Kentucky,2025,4606864
22,Louisiana,2020,4657894
22,Louisiana,2021,4628595
22,Louisiana,2022,4600892
22,Louisiana,2023,4598777
22,Louisiana,2024,4614878
22,Louisiana,2025,4618189
23,Maine,2020,1363218
23,Maine,2021,1379009
23,Maine,2022,1391585
23,Maine,2023,1401992
23,Maine,2024,1408438
23,Maine,2025,1414874
24,Maryland,2020,6181640
24,Maryland,2021,6176035
24,Maryland,2022,6183257
24,Maryland,2023,6204927
24,Maryland,2024,6245314
24,Maryland,2025,6265347
25,Massachusetts,2020,7033112
25,Massachusetts,2021,6996721
25,Massachusetts,2022,7025465
25,Massachusetts,2023,7073479
25,Massachusetts,2024,7138560
25,Massachusetts,2025,7154084
26,Michigan,2020,10079362
26,Michigan,2021,10042362
26,Michigan,2022,10043906
26,Michigan,2023,10062124
26,Michigan,2024,10099962
26,Michigan,2025,10127884
27,Minnesota,2020,5706733
27,Minnesota,2021,5714055
27,Minnesota,2022,5727565
27,Minnesota,2023,5752998
27,Minnesota,2024,5797405
27,Minnesota,2025,5830405
28,Mississippi,2020,2961264
28,Mississippi,2021,2947603
28,Mississippi,2022,2941237
28,Mississippi,2023,2942470
28,Mississippi,2024,2950172
28,Mississippi,2025,2954160
29,Missouri,2020,6154913
29,Missouri,2021,6172551
29,Missouri,2022,6179285
29,Missouri,2023,6205956
29,Missouri,2024,6243544
29,Missouri,2025,6270541
30,Montana,2020,1084221
30,Montana,2021,1106416
30,Montana,2022,1121533
30,Montana,2023,1130612
30,Montana,2024,1137557
30,Montana,2025,1144694
31,Nebraska,2020,1961980
31,Nebraska,2021,1964697
31,Nebraska,2022,1972595
31,Nebraska,2023,1988172
31,Nebraska,2024,2005591
31,Nebraska,2025,2018006
32,Nevada,2020,3105593
32,Nevada,2021,3148472
32,Nevada,2022,3177672
32,Nevada,2023,3211077
32,Nevada,2024,3253543
32,Nevada,2025,3282188
33,New Hampshire,2020,1377573
33,New Hampshire,2021,1387907
33,New Hampshire,2022,1396647
33,New Hampshire,2023,1401530
33,New Hampshire,2024,1408518
33,New Hampshire,2025,1415342
34,New Jersey,2020,9289024
34,New Jersey,2021,9266509
34,New Jersey,2022,9298402
34,New Jersey,2023,9395315
34,New Jersey,2024,9506354
34,New Jersey,2025,9548215
35,New Mexico,2020,2117492
35,New Mexico,2021,2117300
35,New Mexico,2022,2112859
35,New Mexico,2023,2119349
35,New Mexico,2024,2126774
35,New Mexico,2025,2125498
36,New York,2020,20203696
36,New York,2021,19835345
36,New York,2022,19713025
36,New York,2023,19786543
36,New York,2024,20001419
36,New York,2025,20002427
37,North Carolina,2020,10441392
37,North Carolina,2021,10565503
37,North Carolina,2022,10705768
37,North Carolina,2023,10871849
37,North Carolina,2024,11052061
37,North Carolina,2025,11197968
38,North Dakota,2020,779136
38,North Dakota,2021,777977
38,North Dakota,2022,780191
38,North Dakota,2023,787071
38,North Dakota,2024,793387
38,North Dakota,2025,799358
39,Ohio,2020,11799445
39,Ohio,2021,11761443
39,Ohio,2022,11764950
39,Ohio,2023,11808390
39,Ohio,2024,11860621
39,Ohio,2025,11900510
40,Oklahoma,2020,3959354
40,Oklahoma,2021,3992760
40,Oklahoma,2022,4025327
40,Oklahoma,2023,4062716
40,Oklahoma,2024,4097758
40,Oklahoma,2025,4123288
41,Oregon,2020,4237282
41,Oregon,2021,4254691
41,Oregon,2022,4245964
41,Oregon,2023,4250392
41,Oregon,2024,4265324
41,Oregon,2025,4273586
42,Pennsylvania,2020,13002753
42,Pennsylvania,2021,13016628
42,Pennsylvania,2022,12984655
42,Pennsylvania,2023,13009406
42,Pennsylvania,2024,13045848
42,Pennsylvania,2025,13059432
44,Rhode Island,2020,1097357
44,Rhode Island,2021,1097381
44,Rhode Island,2022,1098275
44,Rhode Island,2023,1101183
44,Rhode Island,2024,1110415
44,Rhode Island,2025,1114521
45,South Carolina,2020,5118250
45,South Carolina,2021,5194346
45,South Carolina,2022,5288957
45,South Carolina,2023,5390798
45,South Carolina,2024,5490316
45,South Carolina,2025,5570274
46,South Dakota,2020,886656
46,South Dakota,2021,896303
46,South Dakota,2022,909156
46,South Dakota,2023,917739
46,South Dakota,2024,927110
46,South Dakota,2025,935094
47,Tennessee,2020,6912319
47,Tennessee,2021,6966687
47,Tennessee,2022,7063325
47,Tennessee,2023,7153029
47,Tennessee,2024,7251291
47,Tennessee,2025,7315076
48,Texas,2020,29149498
48,Texas,2021,29572672
48,Texas,2022,30118002
48,Texas,2023,30719247
48,Texas,2024,31318578
48,Texas,2025,31709821
49,Utah,2020,3271601
49,Utah,2021,3339874
49,Utah,2022,3393928
49,Utah,2023,3449259
49,Utah,2024,3502983
49,Utah,2025,3538904
50,Vermont,2020,643077
50,Vermont,2021,647238
50,Vermont,2022,647614
50,Vermont,2023,647722
50,Vermont,2024,646521
50,Vermont,2025,644663
51,Virginia,2020,8631419
51,Virginia,2021,8660007
51,Virginia,2022,8681038
51,Virginia,2023,8732034
51,Virginia,2024,8819642
51,Virginia,2025,8880107
53,Washington,2020,7707519
53,Washington,2021,7744316
53,Washington,2022,7786828
53,Washington,2023,7838655
53,Washington,2024,7927958
53,Washington,2025,8001020
54,West Virginia,2020,1793759
54,West Virginia,2021,1785921
54,West Virginia,2022,1774003
54,West Virginia,2023,1770036
54,West Virginia,2024,1767402
54,West Virginia,2025,1766147
55,Wisconsin,2020,5894323
55,Wisconsin,2021,5882128
55,Wisconsin,2022,5903472
55,Wisconsin,2023,5930350
55,Wisconsin,2024,5957168
55,Wisconsin,2025,5972787
56,Wyoming,2020,576872
56,Wyoming,2021,579662
56,Wyoming,2022,581742
56,Wyoming,2023,584666
56,Wyoming,2024,586722
56,Wyoming,2025,588753
72,Puerto Rico,2020,3285874
72,Puerto Rico,2021,3262731
72,Puerto Rico,2022,3220148
72,Puerto Rico,2023,3203794
72,Puerto Rico,2024,3202521
72,Puerto Rico,2025,3184835
